gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.1592384155251445	nan	6	197.82857142857142	2	44.75714285714286	4	8.792857142857143	4	131.96666666666667	0.68	0.32867132867132864
1	113	0.1592384155251445	nan	243	263.8888888888889	2	29.12912912912913	4	13.09009009009009	4	83.2042042042042	0.598	0.2937062937062937
2	142	0.1592384155251445	nan	271	258.7792207792208	2	24.308441558441558	4	13.626623376623376	4	68.42857142857143	0.556	0.27672327672327673
3	126	0.15842665837322478	nan	253	262.44272445820434	65	24.643962848297214	27	13.928792569659443	155	68.89783281733746	0.568	0.2817182817182817
4	139	0.15842665837322478	nan	253	249.25477707006368	65	20.028662420382165	27	12.888535031847134	155	54.261146496815286	0.538	0.26673326673326675
5	135	0.15842665837322478	nan	253	259.08978328173373	65	19.445820433436534	27	13.095975232198143	155	52.0030959752322	0.554	0.26973026973026976
6	136	0.15256065310674816	nan	852	264.65064102564105	2	17.557692307692307	3	12.320512820512821	3	46.63782051282051	0.534	0.26573426573426573
7	128	0.15256065310674816	nan	89	262.73667711598745	2	15.909090909090908	3	11.467084639498433	3	41.0	0.53	0.2627372627372627
8	116	0.15256065310674816	nan	852	280.64179104477614	2	15.725373134328358	3	11.513432835820895	3	41.125373134328356	0.556	0.2777222777222777
9	112	0.09165886501095499	nan	541	303.73546511627904	77	15.715116279069768	29	11.654069767441861	190	40.35174418604651	0.56	0.2757242757242757
10	113	0.09165886501095499	nan	541	306.7573099415205	77	16.099415204678362	29	11.467836257309942	190	41.08479532163743	0.548	0.26873126873126874
11	106	0.09165886501095499	nan	541	296.04819277108436	77	15.331325301204819	29	10.569277108433734	190	38.05722891566265	0.504	0.24675324675324675
12	89	0.050860872293838066	nan	460	262.9329608938547	3	14.29050279329609	5	10.335195530726256	6	35.055865921787706	0.554	0.26673326673326675
13	81	0.048397218099400674	nan	133	268.78512396694214	3	12.245179063360881	4	9.31129476584022	6	29.608815426997246	0.532	0.24975024975024976
14	91	0.048397218099400674	nan	133	273.4481792717087	3	12.053221288515406	4	8.77310924369748	6	28.85434173669468	0.512	0.23976023976023977
15	80	0.048397218099400674	nan	133	278.8867924528302	3	12.74932614555256	4	9.528301886792454	6	31.16711590296496	0.564	0.26373626373626374
16	82	0.048397218099400674	nan	133	268.43582887700535	3	11.074866310160427	4	8.684491978609625	6	26.68716577540107	0.516	0.24075924075924077
17	86	0.04491541644074748	nan	217	279.72237196765496	3	10.975741239892184	4	8.38544474393531	5	25.921832884097036	0.518	0.23876123876123875
18	75	0.029012504924459503	nan	541	281.6798941798942	79	11.33068783068783	32	8.296296296296296	190	26.735449735449734	0.514	0.22777222777222778
19	78	0.029012504924459503	nan	541	266.38770053475935	79	8.401069518716577	32	7.224598930481283	190	19.5	0.49	0.22377622377622378
20	88	0.029012504924459503	nan	541	278.62666666666667	79	9.373333333333333	32	7.362666666666667	190	21.928	0.488	0.22077922077922077
21	91	0.029012504924459503	nan	541	270.3817204301075	79	9.051075268817204	32	7.448924731182796	190	20.892473118279568	0.476	0.22577422577422576
22	73	0.009272891478374401	nan	25	251.03	4	11.04	5	7.9525	8	25.48	0.5	0.23076923076923078
23	87	0.009272891478374401	nan	25	279.8857142857143	4	8.89090909090909	5	7.322077922077922	8	19.857142857142858	0.512	0.23476523476523475
24	80	0.009272891478374401	nan	25	264.69565217391306	4	8.508951406649617	5	7.166240409207161	8	19.07161125319693	0.508	0.22277722277722278
25	75	0.009272891478374401	nan	25	293.24626865671644	4	7.870646766169155	5	6.803482587064677	8	17.624378109452735	0.502	0.22077922077922077
26	76	0.009272891478374401	nan	25	263.76600985221677	4	8.02216748768473	5	6.834975369458128	8	17.66256157635468	0.51	0.22777222777222778
27	81	0.009272891478374401	nan	25	275.0176322418136	4	7.455919395465995	5	6.5566750629722925	8	16.070528967254408	0.486	0.21678321678321677
28	84	0.009272891478374401	nan	65	257.470737913486	4	7.7226463104325695	5	6.692111959287532	8	16.786259541984734	0.492	0.2037962037962038
29	77	0.009272891478374401	nan	138	217.81472081218274	4	7.786802030456853	5	6.840101522842639	8	17.195431472081218	0.508	0.21678321678321677
30	108	0.009272891478374401	nan	25	181.27913279132792	4	6.693766937669377	5	6.411924119241192	8	14.384823848238483	0.456	0.18981018981018982
31	131	0.006013645949319746	nan	128	160.94334277620396	4	6.776203966005665	4	6.597733711048159	7	14.719546742209632	0.444	0.18281718281718282
32	125	0.006013645949319746	nan	32	148.15598885793872	4	7.013927576601671	5	6.6685236768802225	7	15.481894150417828	0.506	0.2177822177822178
33	112	0.006013645949319746	nan	128	143.0414364640884	4	7.455801104972376	4	6.7292817679558015	7	16.284530386740332	0.534	0.22477522477522477
34	129	0.006013645949319746	nan	128	145.95389048991353	4	7.792507204610951	4	7.017291066282421	7	17.21613832853026	0.506	0.20679320679320679
35	131	0.006013645949319746	nan	128	145.42735042735043	4	7.230769230769231	4	6.829059829059829	7	15.849002849002849	0.516	0.2097902097902098
36	127	0.006013645949319746	nan	128	131.7950138504155	4	6.551246537396122	4	6.293628808864266	7	13.570637119113574	0.532	0.2087912087912088
37	119	0.006013645949319746	nan	128	132.56749311294766	4	5.776859504132231	4	6.005509641873278	7	12.327823691460056	0.494	0.1998001998001998
38	122	0.006013645949319746	nan	128	143.09695290858727	4	6.249307479224377	4	6.224376731301939	7	13.454293628808864	0.482	0.19880119880119881
39	109	0.006013645949319746	nan	128	147.94086021505376	4	6.532258064516129	4	6.389784946236559	7	13.71505376344086	0.528	0.2017982017982018
40	101	0.006013645949319746	nan	128	142.0054347826087	4	7.418478260869565	4	6.730978260869565	7	15.605978260869565	0.554	0.22077922077922077
41	120	0.006013645949319746	nan	128	147.12857142857143	4	6.8742857142857146	4	6.6971428571428575	7	14.705714285714286	0.522	0.2127872127872128
42	107	0.006013645949319746	nan	128	132.48882681564245	4	6.824022346368715	4	6.4860335195530725	7	14.675977653631286	0.534	0.21678321678321677
43	81	0.006013645949319746	nan	128	131.08115183246073	4	6.81151832460733	4	6.5	7	14.403141361256544	0.576	0.22777222777222778
44	84	0.006013645949319746	nan	128	123.37297297297297	4	6.9972972972972975	4	6.597297297297297	7	14.545945945945945	0.552	0.21978021978021978
45	86	0.006013645949319746	nan	128	114.66847826086956	4	6.5271739130434785	4	6.5	7	13.059782608695652	0.56	0.2137862137862138
46	106	0.006013645949319746	nan	128	118.1880341880342	4	7.253561253561253	4	6.700854700854701	7	14.897435897435898	0.544	0.2137862137862138
47	115	0.006013645949319746	nan	128	117.0	4	6.827586206896552	4	6.557471264367816	7	14.201149425287356	0.544	0.21578421578421578
48	106	0.006013645949319746	nan	128	110.36211699164346	4	6.835654596100278	4	6.724233983286908	7	14.389972144846796	0.572	0.22677322677322678
49	106	0.006013645949319746	nan	128	115.35376044568245	4	7.03899721448468	4	6.8245125348189415	7	15.337047353760445	0.542	0.22077922077922077
50	119	0.006013645949319746	0.2318492559968201	128	113.68035190615836	4	7.214076246334311	4	6.7272727272727275	7	15.07624633431085	0.532	0.2057942057942058
