gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.12844903514778594	nan	4	196.38747099767983	2	44.403712296983755	3	9.234338747099768	3	131.03712296983758	0.726	0.35864135864135865
1	126	0.12844903514778594	nan	36	154.41265060240963	2	14.418674698795181	3	8.05722891566265	3	40.46987951807229	0.41	0.20279720279720279
2	151	0.12844903514778594	nan	253	125.71428571428571	2	10.220779220779221	3	6.967532467532467	3	27.792207792207794	0.306	0.15084915084915085
3	125	0.12844903514778594	nan	253	129.66261398176292	2	8.47112462006079	3	6.088145896656535	3	22.11550151975684	0.296	0.14585414585414586
4	102	0.08288728750710224	nan	178	124.79083094555874	3	5.157593123209169	4	4.934097421203439	5	12.8567335243553	0.276	0.13686313686313686
5	95	0.08288728750710224	nan	178	119.85872576177286	3	3.3490304709141276	4	4.1828254847645425	5	7.71191135734072	0.24	0.11688311688311688
6	82	0.07008044218120389	nan	176	122.05093833780161	4	5.085790884718499	6	5.080428954423592	9	12.348525469168901	0.34	0.16483516483516483
7	83	0.07008044218120389	nan	176	109.84533333333333	4	4.936	6	5.029333333333334	9	11.608	0.338	0.15984015984015984
8	92	0.06312207286371709	nan	217	101.0576923076923	12	4.024725274725275	7	4.667582417582418	20	9.277472527472527	0.342	0.16583416583416583
9	87	0.06312207286371709	nan	217	113.1455525606469	12	4.353099730458221	7	4.862533692722372	20	9.722371967654986	0.4	0.18981018981018982
10	87	0.06312207286371709	nan	217	103.91511936339522	12	4.06631299734748	7	4.83289124668435	20	9.068965517241379	0.402	0.18581418581418582
11	85	0.06312207286371709	nan	217	102.52242744063325	12	4.155672823218997	7	4.839050131926121	20	9.313984168865435	0.402	0.18581418581418582
12	96	0.06312207286371709	nan	217	98.224	12	4.922666666666666	7	5.357333333333333	20	11.274666666666667	0.462	0.21078921078921078
13	79	0.05834012896963072	nan	43	89.89141414141415	6	4.345959595959596	4	5.070707070707071	9	9.287878787878787	0.462	0.21478521478521478
14	69	0.05461799027213691	nan	179	85.75757575757575	6	3.9696969696969697	4	4.967171717171717	9	8.477272727272727	0.446	0.21178821178821178
15	92	0.05461799027213691	nan	61	80.90374331550802	6	4.10427807486631	4	4.879679144385027	9	8.457219251336898	0.416	0.19080919080919082
16	79	0.05461799027213691	nan	61	76.16445623342175	6	3.7745358090185674	4	4.538461538461538	9	7.469496021220159	0.428	0.18981018981018982
17	84	0.04907112807991018	nan	13	72.81382978723404	6	3.6569148936170213	4	4.452127659574468	9	7.00531914893617	0.396	0.18081918081918083
18	91	0.04907112807991018	nan	13	73.09973045822102	6	3.776280323450135	4	4.433962264150943	9	7.0296495956873315	0.394	0.18681318681318682
19	102	0.04067406081590958	nan	110	65.75482093663912	6	3.7410468319559227	4	4.2837465564738295	9	6.867768595041323	0.38	0.17182817182817184
20	91	0.04067406081590958	nan	25	61.28225806451613	6	3.3521505376344085	4	4.024193548387097	9	5.903225806451613	0.382	0.17882117882117882
21	103	0.04067406081590958	nan	25	63.456756756756754	6	3.6675675675675676	4	4.194594594594594	9	6.548648648648649	0.38	0.17382617382617382
22	108	0.04067406081590958	nan	54	52.858695652173914	6	3.2717391304347827	4	4.013586956521739	9	5.614130434782608	0.406	0.17882117882117882
23	125	0.04067406081590958	nan	54	50.62429378531073	6	3.4096045197740112	4	3.937853107344633	9	5.754237288135593	0.374	0.16483516483516483
24	137	0.04067406081590958	nan	54	47.73590504451039	6	3.6172106824925816	4	4.13946587537092	9	6.216617210682492	0.394	0.1798201798201798
25	137	0.04067406081590958	nan	54	45.15606936416185	6	3.6184971098265897	4	4.104046242774566	9	6.184971098265896	0.376	0.16883116883116883
26	131	0.04067406081590958	nan	54	46.82152974504249	6	4.008498583569405	4	4.36543909348442	9	7.1076487252124645	0.432	0.1958041958041958
27	142	0.04067406081590958	nan	54	49.42485549132948	6	4.08092485549133	4	4.473988439306359	9	7.283236994219653	0.424	0.1928071928071928
28	122	0.04067406081590958	nan	54	50.3646408839779	6	4.113259668508287	4	4.5	9	7.441988950276243	0.448	0.2017982017982018
29	123	0.04067406081590958	nan	54	45.479674796747965	6	3.948509485094851	4	4.373983739837398	9	7.043360433604336	0.446	0.2007992007992008
30	114	0.04067406081590958	nan	54	39.575675675675676	6	3.691891891891892	4	4.372972972972973	9	6.610810810810811	0.452	0.2017982017982018
31	107	0.04067406081590958	nan	54	39.07874015748032	6	4.005249343832021	4	4.556430446194225	9	7.364829396325459	0.454	0.20279720279720279
32	120	0.04067406081590958	nan	54	35.66216216216216	6	3.8027027027027027	4	4.278378378378378	9	6.694594594594594	0.414	0.18681318681318682
33	139	0.04067406081590958	nan	54	40.58923512747875	6	4.0339943342776206	4	4.240793201133145	9	7.135977337110481	0.388	0.17682317682317683
34	137	0.04067406081590958	nan	54	38.71830985915493	6	4.16056338028169	4	4.377464788732395	9	7.191549295774648	0.456	0.1998001998001998
35	155	0.04067406081590958	nan	54	43.99109792284867	6	4.329376854599406	4	4.397626112759644	9	7.507418397626113	0.438	0.1978021978021978
36	129	0.04067406081590958	nan	54	36.855555555555554	6	4.319444444444445	4	4.338888888888889	9	7.361111111111111	0.454	0.2017982017982018
37	151	0.04067406081590958	nan	54	38.247058823529414	6	4.511764705882353	4	4.473529411764706	9	7.66764705882353	0.452	0.2087912087912088
38	134	0.04067406081590958	nan	54	35.9002849002849	6	4.410256410256411	4	4.555555555555555	9	7.578347578347579	0.504	0.23076923076923078
39	129	0.04067406081590958	nan	54	35.434285714285714	6	4.451428571428571	4	4.617142857142857	9	7.688571428571429	0.528	0.23576423576423577
40	141	0.04067406081590958	nan	54	31.555223880597016	6	4.343283582089552	4	4.6626865671641795	9	7.841791044776119	0.502	0.23076923076923078
41	118	0.04067406081590958	nan	54	30.27433628318584	6	4.442477876106195	4	4.660766961651918	9	7.994100294985251	0.486	0.2217782217782218
42	128	0.04067406081590958	nan	54	34.138888888888886	6	4.70679012345679	4	4.75	9	8.351851851851851	0.462	0.2217782217782218
43	117	0.04067406081590958	nan	54	33.126126126126124	6	4.576576576576577	4	4.66966966966967	9	8.042042042042041	0.468	0.21878121878121878
44	106	0.04067406081590958	nan	54	32.03380281690141	6	4.608450704225352	4	4.805633802816901	9	8.315492957746478	0.484	0.22377622377622378
45	108	0.04067406081590958	nan	54	32.48011363636363	6	4.409090909090909	4	4.650568181818182	9	7.9602272727272725	0.458	0.21178821178821178
