gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.19587908034221302	nan	15	211.8992974238876	3	48.35831381733021	7	9.011709601873536	10	141.36065573770492	0.696	0.3336663336663337
1	121	0.19587908034221302	nan	15	267.9154078549849	3	25.214501510574017	7	11.163141993957703	10	71.35045317220543	0.512	0.24975024975024976
2	134	0.19587908034221302	nan	15	270.2798742138365	3	20.669811320754718	7	10.91194968553459	10	57.74842767295598	0.498	0.24275724275724275
3	139	0.1568277779579611	nan	436	283.6355140186916	2	19.59190031152648	5	11.707165109034268	5	53.794392523364486	0.494	0.24275724275724275
4	152	0.05563095844452792	nan	8	254.1456953642384	3	17.47682119205298	6	10.605960264900663	7	46.87417218543046	0.454	0.22077922077922077
5	143	0.05563095844452792	nan	8	250.05769230769232	3	14.830128205128204	6	10.28525641025641	7	38.916666666666664	0.462	0.22277722277722278
6	149	0.05563095844452792	nan	8	229.99025974025975	3	13.957792207792208	6	9.555194805194805	7	36.5551948051948	0.428	0.2087912087912088
7	132	0.05563095844452792	nan	8	224.6	3	12.176119402985075	6	9.149253731343284	7	30.8089552238806	0.438	0.21678321678321677
8	138	0.05563095844452792	nan	8	226.32716049382717	3	11.453703703703704	6	8.391975308641975	7	28.67283950617284	0.402	0.1978021978021978
9	129	0.05563095844452792	nan	35	227.27710843373495	3	11.55421686746988	6	8.262048192771084	7	28.795180722891565	0.402	0.1958041958041958
10	117	0.05563095844452792	nan	306	192.18840579710144	3	8.571014492753623	6	7.182608695652174	7	20.88695652173913	0.394	0.1928071928071928
11	151	0.04550452155604556	nan	69	189.17034700315457	3	9.350157728706625	4	7.823343848580442	5	22.63722397476341	0.38	0.1848151848151848
12	157	0.04550452155604556	nan	69	206.623417721519	3	10.08860759493671	4	8.044303797468354	5	24.189873417721518	0.4	0.1928071928071928
13	150	0.04550452155604556	nan	24	199.796875	3	9.83125	4	8.375	5	23.975	0.412	0.1958041958041958
14	137	0.04550452155604556	nan	13	195.75522388059701	3	10.704477611940298	4	8.743283582089552	5	25.880597014925375	0.446	0.21578421578421578
15	128	0.04550452155604556	nan	36	169.4178674351585	3	9.4178674351585	4	8.305475504322766	5	22.285302593659942	0.484	0.23076923076923078
16	138	0.04550452155604556	nan	36	185.20958083832335	3	9.619760479041917	4	8.104790419161677	5	22.2874251497006	0.486	0.22877122877122877
17	143	0.04306022269596066	nan	87	195.65281899109792	4	10.080118694362017	6	8.560830860534125	10	24.01186943620178	0.502	0.23676323676323677
18	141	0.04306022269596066	nan	69	167.84023668639054	4	11.381656804733728	6	8.902366863905325	10	27.17751479289941	0.504	0.24175824175824176
19	143	0.04306022269596066	nan	87	156.08529411764707	4	10.01764705882353	6	8.464705882352941	10	23.86470588235294	0.5	0.23576423576423577
20	137	0.04306022269596066	nan	87	151.55619596541786	4	9.556195965417867	6	8.51585014409222	10	22.70605187319885	0.51	0.23976023976023977
21	146	0.006128581173137526	nan	28	143.14619883040936	4	9.608187134502923	5	8.692982456140351	7	22.374269005847953	0.532	0.24375624375624375
