gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.3000591356679911	nan	37	7.8469945355191255	11	2.9617486338797816	8	3.918032786885246	25	5.2896174863387975	0.262	0.12887112887112886
1	118	0.3000591356679911	nan	37	52.72674418604651	11	2.6686046511627906	8	3.877906976744186	25	5.122093023255814	0.202	0.1008991008991009
2	157	0.29273223090834727	nan	36	75.78048780487805	6	2.8048780487804876	6	4.024390243902439	13	5.310975609756097	0.2	0.0999000999000999
3	146	0.29273223090834727	nan	36	82.62162162162163	6	3.156756756756757	6	4.448648648648649	13	6.34054054054054	0.23	0.11188811188811189
4	148	0.29273223090834727	nan	36	82.8407960199005	6	3.1144278606965172	6	4.5721393034825875	13	6.447761194029851	0.236	0.11588411588411589
5	153	0.2759387421016345	nan	37	69.4020618556701	3	3.036082474226804	6	4.520618556701031	10	6.278350515463917	0.23	0.11388611388611389
6	137	0.2759387421016345	nan	37	79.85436893203884	3	3.1359223300970873	6	4.733009708737864	10	6.762135922330097	0.242	0.11888111888111888
7	148	0.2759387421016345	nan	37	80.61792452830188	3	3.339622641509434	6	5.14622641509434	10	7.4575471698113205	0.282	0.13886113886113885
8	131	0.2759387421016345	nan	37	78.06603773584905	3	3.4339622641509435	6	5.334905660377358	10	7.740566037735849	0.274	0.13486513486513488
9	131	0.2759387421016345	nan	78	63.20873786407767	3	3.3980582524271843	6	5.155339805825243	10	7.37378640776699	0.27	0.13286713286713286
10	123	0.25931295897896206	nan	18	73.42592592592592	3	3.050925925925926	5	4.819444444444445	6	6.6342592592592595	0.276	0.13686313686313686
11	122	0.25931295897896206	nan	18	69.39090909090909	3	2.9363636363636365	5	4.8090909090909095	6	6.472727272727273	0.268	0.13386613386613386
12	121	0.25797333898453756	nan	70	76.3393665158371	3	3.4705882352941178	7	5.203619909502263	9	7.83710407239819	0.29	0.14285714285714285
13	116	0.2111910062142361	nan	78	69.22727272727273	3	3.327272727272727	6	5.1863636363636365	7	7.359090909090909	0.282	0.13786213786213786
14	131	0.2111910062142361	nan	78	73.98148148148148	3	3.4074074074074074	6	5.231481481481482	7	7.560185185185185	0.28	0.13886113886113885
15	128	0.2111910062142361	nan	78	70.12612612612612	3	3.481981981981982	6	5.256756756756757	7	7.59009009009009	0.3	0.14685314685314685
16	141	0.2111910062142361	nan	78	68.5	3	3.8333333333333335	6	5.711711711711712	7	8.752252252252251	0.308	0.15184815184815184
17	124	0.2111910062142361	nan	78	70.96995708154506	3	4.0	6	5.909871244635193	7	9.008583690987125	0.35	0.17282717282717283
18	124	0.20412427149333165	nan	72	71.8898678414097	5	3.9911894273127753	8	5.894273127753304	12	9.17180616740088	0.334	0.16483516483516483
19	130	0.20412427149333165	nan	72	73.90748898678414	5	3.881057268722467	8	5.665198237885463	12	8.66079295154185	0.35	0.17182817182817184
20	121	0.20412427149333165	nan	72	74.70731707317073	5	3.817073170731707	8	5.654471544715447	12	8.540650406504065	0.366	0.17582417582417584
21	128	0.20412427149333165	nan	72	68.97907949790795	5	3.803347280334728	8	5.698744769874477	12	8.506276150627615	0.352	0.17482517482517482
22	146	0.20412427149333165	nan	72	66.06896551724138	5	3.4439655172413794	8	5.280172413793103	12	7.4655172413793105	0.318	0.15484515484515485
23	152	0.20412427149333165	nan	72	60.27272727272727	5	3.5090909090909093	8	5.295454545454546	12	7.331818181818182	0.314	0.15484515484515485
24	154	0.20412427149333165	nan	72	61.693333333333335	5	3.382222222222222	8	5.297777777777778	12	7.293333333333333	0.304	0.15084915084915085
25	145	0.1969298777724729	nan	59	63.26605504587156	5	3.7477064220183487	8	5.775229357798165	12	8.275229357798166	0.33	0.16483516483516483
26	164	0.1969298777724729	nan	59	66.34070796460178	5	3.836283185840708	8	6.0	12	8.716814159292035	0.338	0.16683316683316685
27	153	0.1969298777724729	nan	40	66.64186046511628	5	3.7209302325581395	8	5.78139534883721	12	8.21860465116279	0.332	0.16383616383616384
28	146	0.1969298777724729	nan	105	66.335	5	4.015	8	5.95	12	8.955	0.316	0.15584415584415584
29	161	0.1969298777724729	nan	226	64.19806763285024	5	4.033816425120773	8	5.855072463768116	12	8.68599033816425	0.318	0.15484515484515485
30	161	0.1969298777724729	nan	226	59.507109004739334	5	3.6208530805687205	8	5.483412322274882	12	7.701421800947867	0.316	0.15484515484515485
31	154	0.1969298777724729	nan	226	62.334782608695654	5	3.891304347826087	8	6.01304347826087	12	8.708695652173914	0.342	0.16783216783216784
32	177	0.1969298777724729	nan	226	65.49484536082474	5	3.8402061855670104	8	5.912371134020619	12	8.577319587628866	0.288	0.14085914085914086
33	161	0.1969298777724729	nan	226	65.96019900497512	5	3.4328358208955225	8	5.562189054726368	12	7.4278606965174125	0.292	0.13986013986013987
34	166	0.1969298777724729	nan	226	65.56613756613757	5	3.761904761904762	8	5.571428571428571	12	7.925925925925926	0.27	0.13386613386613386
35	177	0.1969298777724729	nan	226	68.85340314136126	5	4.219895287958115	8	5.9214659685863875	12	8.979057591623036	0.284	0.13686313686313686
36	173	0.1969298777724729	nan	226	64.53807106598985	5	3.6903553299492384	8	5.451776649746193	12	7.781725888324873	0.28	0.13586413586413587
37	173	0.1969298777724729	nan	226	65.41584158415841	5	3.767326732673267	8	5.564356435643564	12	7.866336633663367	0.306	0.14985014985014986
38	179	0.1969298777724729	nan	226	60.4126213592233	5	4.033980582524272	8	5.990291262135922	12	8.781553398058252	0.318	0.15684315684315683
39	176	0.1969298777724729	nan	226	65.40094339622641	5	4.443396226415095	8	6.311320754716981	12	9.80188679245283	0.322	0.15984015984015984
40	173	0.1969298777724729	nan	226	66.32599118942731	5	4.211453744493392	8	6.3039647577092515	12	9.47136563876652	0.36	0.17782217782217782
41	159	0.1969298777724729	nan	226	61.64601769911504	5	4.252212389380531	8	6.45575221238938	12	9.597345132743364	0.358	0.17482517482517482
42	161	0.1969298777724729	nan	226	56.288372093023256	5	4.2046511627906975	8	6.446511627906977	12	9.595348837209302	0.332	0.16383616383616384
43	152	0.1969298777724729	nan	226	57.04109589041096	5	3.853881278538813	8	6.091324200913242	12	8.71689497716895	0.342	0.16883116883116883
44	154	0.1969298777724729	nan	226	56.24271844660194	5	3.825242718446602	8	5.87378640776699	12	8.470873786407767	0.306	0.15084915084915085
45	153	0.1969298777724729	nan	226	53.66379310344828	5	4.012931034482759	8	5.836206896551724	12	8.668103448275861	0.36	0.17382617382617382
46	148	0.1969298777724729	nan	226	51.25311203319502	5	3.7302904564315353	8	5.6970954356846475	12	8.199170124481327	0.348	0.16883116883116883
47	119	0.1969298777724729	nan	226	55.874015748031496	5	3.65748031496063	8	5.7362204724409445	12	7.968503937007874	0.36	0.17782217782217782
48	138	0.1969298777724729	nan	226	65.0381679389313	5	3.6793893129770994	8	5.744274809160306	12	7.938931297709924	0.39	0.1918081918081918
49	134	0.17653098907666726	nan	72	64.54135338345864	7	4.157894736842105	8	6.007518796992481	17	8.887218045112782	0.43	0.20679320679320679
50	133	0.17653098907666726	0.16430187692724482	72	68.0569105691057	7	3.703252032520325	8	5.491869918699187	17	7.658536585365853	0.362	0.17382617382617382
