gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.1514705113447501	nan	4	196.11320754716982	2	44.37028301886792	3	8.945754716981131	3	130.82311320754718	0.686	0.33266733266733267
1	117	0.1514705113447501	nan	4	250.34005763688762	2	27.585014409221902	3	12.982708933717579	3	78.39769452449568	0.61	0.2967032967032967
2	137	0.1514705113447501	nan	127	247.20606060606062	2	20.742424242424242	3	12.215151515151515	3	57.96060606060606	0.596	0.2917082917082917
3	148	0.14187209822164248	nan	270	237.56875	4	22.246875	6	13.09375	11	60.9125	0.556	0.27172827172827174
4	145	0.14187209822164248	nan	270	250.0958466453674	4	21.690095846645367	6	13.338658146964857	11	58.798722044728436	0.578	0.2827172827172827
5	160	0.051360775625030275	nan	270	240.36601307189542	3	17.38888888888889	5	11.604575163398692	6	45.16013071895425	0.534	0.25774225774225773
6	166	0.051360775625030275	nan	270	227.9087947882736	3	16.022801302931597	5	10.80456026058632	6	41.72312703583062	0.52	0.24875124875124874
7	160	0.051360775625030275	nan	270	239.9935064935065	3	15.785714285714286	5	11.006493506493506	6	40.73701298701299	0.512	0.24375624375624375
8	140	0.051360775625030275	nan	270	220.83383685800604	3	16.897280966767372	5	11.220543806646525	6	43.323262839879156	0.554	0.26573426573426573
9	162	0.051360775625030275	nan	270	228.39936102236422	3	14.172523961661343	5	10.865814696485623	6	36.073482428115014	0.52	0.24875124875124874
10	144	0.051360775625030275	nan	160	221.96153846153845	3	13.804733727810651	5	10.502958579881657	6	34.66863905325444	0.576	0.2787212787212787
11	146	0.051360775625030275	nan	160	213.86430678466076	3	12.253687315634219	5	10.194690265486726	6	30.05604719764012	0.59	0.27372627372627373
12	148	0.051360775625030275	nan	86	196.22058823529412	3	12.185294117647059	5	9.561764705882354	6	29.24411764705882	0.576	0.26873126873126874
13	135	0.051360775625030275	nan	86	188.58923512747876	3	10.946175637393768	5	8.827195467422097	6	26.19830028328612	0.558	0.25674325674325676
14	128	0.051360775625030275	nan	86	188.9612188365651	3	11.005540166204986	5	8.875346260387811	6	25.991689750692522	0.55	0.25374625374625376
15	131	0.03483220601081105	nan	301	169.81869688385268	12	10.096317280453258	9	8.677053824362606	23	23.708215297450426	0.536	0.23876123876123875
16	108	0.03483220601081105	nan	301	168.61436170212767	12	9.430851063829786	9	8.329787234042554	23	21.856382978723403	0.556	0.24975024975024976
17	102	0.03483220601081105	nan	301	168.1038961038961	12	8.441558441558442	9	7.602597402597403	23	18.802597402597403	0.56	0.24475524475524477
18	104	0.03483220601081105	nan	301	173.58157894736843	12	7.494736842105263	9	7.2105263157894735	23	16.736842105263158	0.548	0.23676323676323677
19	114	0.03483220601081105	nan	301	177.1823056300268	12	7.938337801608579	9	7.386058981233244	23	17.702412868632706	0.544	0.22377622377622378
20	97	0.03483220601081105	nan	301	179.53333333333333	12	8.415384615384616	9	7.720512820512821	23	19.156410256410258	0.604	0.24775224775224775
21	117	0.03483220601081105	nan	301	186.97326203208556	12	7.679144385026738	9	7.109625668449198	23	16.6951871657754	0.548	0.22377622377622378
22	108	0.03483220601081105	nan	301	183.7460732984293	12	7.4136125654450264	9	7.164921465968586	23	16.222513089005236	0.57	0.23376623376623376
23	89	0.03386274436079151	nan	99	191.13846153846154	8	8.094871794871795	8	7.584615384615384	15	17.715384615384615	0.6	0.2547452547452547
24	84	0.03386274436079151	nan	99	196.00512820512822	8	7.897435897435898	8	7.28974358974359	15	17.25128205128205	0.598	0.24775224775224775
25	88	0.03386274436079151	nan	99	182.753280839895	8	7.656167979002625	8	7.136482939632546	15	16.5249343832021	0.588	0.24075924075924077
26	87	0.03386274436079151	nan	99	175.67631578947368	8	7.213157894736842	8	6.9	15	15.260526315789473	0.584	0.23876123876123875
27	87	0.03236733485925236	nan	301	172.95250659630608	12	7.113456464379947	9	6.7651715039577835	23	14.678100263852242	0.572	0.23376623376623376
28	81	0.03236733485925236	nan	39	154.2030456852792	12	7.314720812182741	9	6.748730964467005	23	15.068527918781726	0.612	0.24675324675324675
29	89	0.03236733485925236	nan	39	138.75324675324674	12	7.618181818181818	9	7.038961038961039	23	15.618181818181819	0.588	0.23476523476523475
30	90	0.03236733485925236	nan	39	126.84910485933504	12	6.772378516624041	9	6.350383631713555	23	13.245524296675192	0.608	0.22777222777222778
31	84	0.029151660536826274	nan	18	119.52417302798982	9	6.969465648854962	8	6.539440203562341	17	13.450381679389313	0.666	0.22877122877122877
32	70	0.029151414549567822	nan	18	125.27777777777777	9	7.094202898550725	8	6.570048309178744	17	13.42512077294686	0.696	0.24075924075924077
33	62	0.006100853733015721	nan	119	109.51573849878935	4	6.280871670702179	4	5.878934624697337	7	11.389830508474576	0.668	0.22477522477522477
34	80	0.006100853733015721	nan	119	110.895	4	7.0775	4	6.3275	7	13.2	0.662	0.22377622377622378
