gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.15097880192706906	nan	3	123.91455696202532	1	28.825949367088608	3	8.281645569620252	2	82.70569620253164	0.514	0.3353028064992615
1	159	0.15097880192706906	nan	3	194.5891472868217	1	14.465116279069768	3	9.007751937984496	2	41.12015503875969	0.392	0.25997045790251105
2	165	0.15097880192706906	nan	3	196.97445255474452	1	11.886861313868613	3	8.894160583941606	2	32.67153284671533	0.384	0.25997045790251105
3	181	0.15097880192706906	nan	3	193.272030651341	1	11.934865900383143	3	9.065134099616857	2	31.804597701149426	0.388	0.2555391432791728
4	181	0.08783635789638358	nan	306	169.92936802973978	2	9.41635687732342	5	7.825278810408922	5	24.442379182156134	0.358	0.23929098966026588
5	193	0.08783635789638358	nan	306	178.06273062730628	2	8.099630996309964	5	7.723247232472325	5	20.723247232472325	0.34	0.23042836041358936
6	170	0.08783635789638358	nan	91	159.35106382978722	2	7.067375886524823	5	7.50709219858156	5	18.099290780141843	0.344	0.2259970457902511
7	162	0.08783635789638358	nan	481	136.67527675276753	2	5.8487084870848705	5	6.6900369003690034	5	14.959409594095941	0.286	0.18906942392909898
8	159	0.08783635789638358	nan	81	126.90073529411765	2	6.352941176470588	5	6.507352941176471	5	16.110294117647058	0.266	0.16986706056129985
9	160	0.08783635789638358	nan	184	136.75971731448763	2	4.618374558303887	5	5.869257950530035	5	11.491166077738516	0.26	0.16838995568685378
10	146	0.08783635789638358	nan	184	127.78245614035087	2	4.364912280701755	5	5.91578947368421	5	10.740350877192983	0.258	0.16395864106351551
11	153	0.08783635789638358	nan	184	135.90714285714284	2	4.678571428571429	5	5.9678571428571425	5	11.660714285714286	0.244	0.14771048744460857
12	169	0.08783635789638358	nan	184	139.52471482889734	2	4.798479087452471	5	5.893536121673004	5	11.714828897338403	0.24	0.15214180206794684
13	129	0.08783635789638358	nan	184	133.73333333333332	2	6.504761904761905	5	6.4222222222222225	5	15.504761904761905	0.296	0.1964549483013294
14	137	0.08783635789638358	nan	184	134.84294871794873	2	5.714743589743589	5	6.339743589743589	5	13.71474358974359	0.308	0.20088626292466766
15	141	0.08783635789638358	nan	184	130.31089743589743	2	5.147435897435898	5	6.176282051282051	5	12.573717948717949	0.288	0.18020679468242246
16	145	0.08783635789638358	nan	184	144.96563573883162	2	5.766323024054983	5	6.326460481099656	5	13.484536082474227	0.272	0.18463810930576072
17	149	0.08783635789638358	nan	184	131.2	2	5.71864406779661	5	6.501694915254237	5	13.423728813559322	0.288	0.18168389955686853
18	132	0.08783635789638358	nan	184	128.18006430868166	2	4.778135048231511	5	6.003215434083601	5	11.29903536977492	0.278	0.19202363367799113
