gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.9299654373709976	nan	13	6.156424581005586	3	2.3016759776536313	8	3.4134078212290504	9	4.067039106145251	0.198	0.08585365853658537
1	101	0.820821494848836	nan	5	80.9	1	2.0722222222222224	4	3.6944444444444446	3	4.216666666666667	0.172	0.08097560975609756
2	110	0.820821494848836	nan	5	109.2295918367347	1	2.4693877551020407	4	4.362244897959184	3	5.408163265306122	0.242	0.11219512195121951
3	113	0.820821494848836	nan	5	121.55	1	2.54	4	4.56	3	5.69	0.244	0.11804878048780487
4	112	0.820821494848836	nan	5	122.65714285714286	1	2.3485714285714288	4	4.605714285714286	3	5.6	0.222	0.10829268292682927
5	100	0.8197860316913267	nan	13	127.875	1	2.1614583333333335	6	4.317708333333333	5	5.078125	0.222	0.10634146341463414
6	95	0.8190366602934815	nan	69	133.6280193236715	1	2.178743961352657	6	4.48792270531401	5	5.178743961352657	0.244	0.11707317073170732
7	102	0.8036498210523255	nan	11	131.01382488479263	1	1.976958525345622	4	4.364055299539171	3	4.857142857142857	0.252	0.12097560975609756
8	102	0.8036498210523255	nan	219	122.0	1	1.8271028037383177	4	4.196261682242991	3	4.313084112149533	0.252	0.12097560975609756
9	77	0.8036498210523255	nan	219	121.02777777777777	1	2.1825396825396823	4	4.714285714285714	3	5.396825396825397	0.326	0.1551219512195122
10	73	0.8036498210523255	nan	219	112.80876494023904	1	2.0796812749003983	4	4.713147410358566	3	5.254980079681275	0.314	0.14926829268292682
11	84	0.7943520816444063	nan	66	104.68571428571428	6	2.204081632653061	6	4.853061224489796	13	5.546938775510204	0.314	0.15121951219512195
12	89	0.7943520816444063	nan	66	101.63424124513618	6	2.443579766536965	6	5.046692607003891	13	6.089494163424124	0.346	0.16195121951219513
13	79	0.7943520816444063	nan	66	96.63178294573643	6	2.4031007751937983	6	4.910852713178294	13	5.825581395348837	0.338	0.16
14	88	0.7943520816444063	nan	66	87.96680497925311	6	2.2904564315352696	6	4.867219917012448	13	5.589211618257261	0.316	0.14926829268292682
15	86	0.7943520816444063	nan	66	74.14285714285714	6	2.1092436974789917	6	4.584033613445378	13	5.071428571428571	0.296	0.13463414634146342
16	83	0.7943520816444063	nan	66	83.6468085106383	6	2.2297872340425533	6	4.6127659574468085	13	5.336170212765958	0.278	0.13073170731707318
17	83	0.7943520816444063	nan	202	87.9647577092511	6	2.303964757709251	6	4.8370044052863435	13	5.766519823788546	0.282	0.13365853658536586
18	78	0.7943520816444063	nan	66	88.83333333333333	6	2.2625	6	4.816666666666666	13	5.666666666666667	0.3	0.144390243902439
19	70	0.7943520816444063	nan	66	87.50597609561753	6	2.0358565737051793	6	4.589641434262949	13	5.0717131474103585	0.308	0.1473170731707317
20	67	0.7943520816444063	nan	66	85.1937984496124	6	2.3255813953488373	6	4.775193798449612	13	5.627906976744186	0.34	0.16195121951219513
21	66	0.7943520816444063	nan	66	89.196	6	2.256	6	4.58	13	5.416	0.294	0.13951219512195123
22	64	0.7943520816444055	nan	66	82.12	6	2.308	6	4.58	13	5.392	0.32	0.1521951219512195
23	65	0.7943520816444055	nan	66	93.89068825910931	6	2.4979757085020244	6	4.854251012145749	13	5.870445344129554	0.34	0.16
24	73	0.7814455592708862	nan	449	94.28991596638656	2	2.6512605042016806	6	4.890756302521009	8	6.201680672268908	0.312	0.14341463414634145
25	69	0.7814455592708862	nan	449	97.3974358974359	2	2.4743589743589745	6	4.888888888888889	8	5.923076923076923	0.322	0.14829268292682926
26	51	0.7814455592708862	nan	17	99.22127659574468	2	2.8978723404255318	6	4.982978723404256	8	6.68936170212766	0.338	0.16
27	49	0.7814455592708862	nan	17	92.40343347639485	2	2.7339055793991416	6	4.879828326180258	8	6.253218884120171	0.316	0.1473170731707317
28	62	0.7814455592708862	nan	17	92.9695652173913	2	2.973913043478261	6	4.934782608695652	8	6.643478260869565	0.332	0.15414634146341463
29	55	0.7662647394345035	nan	224	94.35242290748899	2	2.6299559471365637	6	4.788546255506608	8	5.991189427312776	0.322	0.15121951219512195
30	64	0.7662647394345035	nan	224	93.55274261603375	2	2.670886075949367	6	4.924050632911392	8	6.227848101265823	0.352	0.17073170731707318
31	64	0.7662647394345035	nan	224	98.29545454545455	2	2.5318181818181817	6	4.872727272727273	8	6.0590909090909095	0.318	0.15024390243902438
32	87	0.7662647394345035	nan	224	115.5609756097561	2	2.8585365853658535	6	5.229268292682927	8	6.912195121951219	0.296	0.13463414634146342
33	89	0.70127413754401	nan	166	94.77033492822966	2	2.6555023923444976	7	5.019138755980861	9	6.411483253588517	0.292	0.13560975609756099
34	82	0.70127413754401	nan	166	73.89915966386555	2	2.73109243697479	7	5.063025210084033	9	6.483193277310924	0.336	0.15609756097560976
35	79	0.70127413754401	nan	166	88.57740585774059	2	2.8200836820083683	7	5.2343096234309625	9	6.836820083682008	0.364	0.17268292682926828
36	68	0.70127413754401	nan	166	99.55645161290323	2	3.1088709677419355	7	5.362903225806452	9	7.391129032258065	0.384	0.18048780487804877
37	76	0.70127413754401	nan	166	100.89387755102041	2	2.9591836734693877	7	5.338775510204082	9	7.061224489795919	0.38	0.17365853658536584
38	67	0.6930449483216434	nan	74	96.0275590551181	2	2.9133858267716537	6	5.531496062992126	8	7.228346456692913	0.406	0.19121951219512195
39	50	0.6930449483216434	nan	74	86.60887096774194	2	2.995967741935484	6	5.544354838709677	8	7.44758064516129	0.386	0.18146341463414634
40	59	0.6930449483216434	nan	74	80.26016260162602	2	2.930894308943089	6	5.463414634146342	8	7.178861788617886	0.386	0.17658536585365853
41	54	0.6930449483216434	nan	74	99.01626016260163	2	3.1260162601626016	6	5.760162601626016	8	8.012195121951219	0.39	0.1824390243902439
42	52	0.6809052413432555	nan	74	92.21285140562249	2	2.8755020080321283	6	5.248995983935743	8	7.056224899598393	0.366	0.1678048780487805
43	49	0.6809052413432555	nan	74	95.224	2	2.72	6	5.116	8	6.62	0.36	0.1629268292682927
44	43	0.6809052413432555	nan	74	88.69444444444444	2	3.357142857142857	6	5.496031746031746	8	8.130952380952381	0.396	0.17853658536585365
45	55	0.6809052413432555	nan	74	85.68879668049793	2	3.2655601659751037	6	5.5020746887966805	8	7.8879668049792535	0.372	0.16390243902439025
46	47	0.6809052413432555	nan	74	69.64957264957265	2	3.286324786324786	6	5.777777777777778	8	8.128205128205128	0.374	0.17170731707317075
47	39	0.6809052413432555	nan	28	81.84615384615384	2	3.3034188034188032	6	5.6239316239316235	8	8.081196581196581	0.358	0.16682926829268294
48	40	0.6809052413432555	nan	28	73.69124423963133	2	3.110599078341014	6	5.658986175115207	8	7.792626728110599	0.34	0.15902439024390244
49	49	0.6809052413432555	nan	12	73.50666666666666	2	2.8577777777777778	6	5.2	8	6.88	0.334	0.15609756097560976
50	47	0.6809052413432555	0.04498264601390134	12	76.37089201877934	2	3.244131455399061	6	5.539906103286385	8	7.802816901408451	0.33	0.1521951219512195
