gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.04045420143623022	nan	45	6.069364161849711	8	2.2427745664739884	13	3.445086705202312	30	3.9884393063583814	0.182	0.08780487804878048
1	89	0.03917688619683671	nan	14	97.93589743589743	3	1.705128205128205	7	3.4743589743589745	9	3.6025641025641026	0.146	0.07121951219512195
2	105	0.03917688619683671	nan	14	117.4047619047619	3	2.488095238095238	7	4.178571428571429	9	5.517857142857143	0.19	0.09268292682926829
3	97	0.03917688619683671	nan	9	146.48850574712642	3	2.9195402298850577	7	4.850574712643678	9	7.0344827586206895	0.228	0.11121951219512195
4	91	0.03917688619683671	nan	9	136.97674418604652	3	2.0755813953488373	7	4.325581395348837	9	5.005813953488372	0.194	0.09268292682926829
5	99	0.03917688619683671	nan	11	118.26285714285714	3	2.045714285714286	7	4.2628571428571425	9	4.7942857142857145	0.21	0.10146341463414635
6	81	0.03917688619683671	nan	11	127.21649484536083	3	2.448453608247423	7	4.958762886597938	9	6.180412371134021	0.256	0.1248780487804878
7	75	0.03917688619683671	nan	11	119.46938775510205	3	2.433673469387755	7	5.051020408163265	9	6.209183673469388	0.264	0.12878048780487805
8	77	0.03917688619683671	nan	11	125.0295566502463	3	2.5960591133004924	7	5.41871921182266	9	6.753694581280788	0.298	0.144390243902439
9	80	0.03882749975945659	nan	35	130.58415841584159	3	2.5693069306930694	7	5.4504950495049505	9	6.876237623762377	0.286	0.13853658536585367
10	75	0.03882749975945659	nan	35	118.88118811881188	3	2.4356435643564356	7	5.316831683168317	9	6.405940594059406	0.298	0.1424390243902439
11	73	0.03882749975945659	nan	35	140.6602870813397	3	2.6411483253588517	7	5.162679425837321	9	6.516746411483253	0.294	0.1404878048780488
12	62	0.03882749975945659	nan	35	138.19617224880383	3	2.861244019138756	7	5.440191387559809	9	7.148325358851674	0.318	0.1551219512195122
13	70	0.03730892634347347	nan	291	136.36651583710406	2	2.6877828054298645	5	5.380090497737557	6	6.710407239819005	0.332	0.15902439024390244
14	69	0.03730892634347347	nan	244	129.46153846153845	2	2.321266968325792	5	5.122171945701357	6	5.959276018099548	0.32	0.1551219512195122
15	72	0.03730892634347347	nan	244	123.21367521367522	2	2.628205128205128	5	5.431623931623932	6	6.918803418803419	0.346	0.1678048780487805
16	53	0.03730892634347347	nan	244	119.0418410041841	2	2.6569037656903767	5	5.506276150627615	6	6.903765690376569	0.35	0.17073170731707318
17	60	0.03730892634347347	nan	66	136.43171806167402	2	2.94273127753304	5	5.797356828193832	6	7.60352422907489	0.338	0.16390243902439025
18	57	0.03730892634347347	nan	66	140.8544600938967	2	3.192488262910798	5	6.187793427230047	6	8.295774647887324	0.358	0.16975609756097562
19	58	0.036770757094706875	nan	112	135.2904761904762	2	3.361904761904762	5	6.076190476190476	6	8.638095238095238	0.31	0.14634146341463414
20	59	0.036770757094706875	nan	112	146.19417475728156	2	3.1310679611650487	5	5.980582524271845	6	8.24757281553398	0.306	0.14829268292682926
21	50	0.036770757094706875	nan	112	157.77227722772278	2	3.207920792079208	5	6.03960396039604	6	8.297029702970297	0.312	0.15121951219512195
22	64	0.036510339567426706	nan	340	154.2995391705069	2	3.3732718894009217	5	6.096774193548387	6	8.732718894009217	0.33	0.16097560975609757
23	56	0.036510339567426706	nan	340	154.29302325581395	2	2.9767441860465116	5	5.78139534883721	6	7.688372093023256	0.332	0.16195121951219513
24	63	0.036510339567426706	nan	38	157.38028169014083	2	2.9859154929577465	5	5.774647887323944	6	7.666666666666667	0.328	0.15902439024390244
25	52	0.036510339567426706	nan	177	156.11981566820276	2	2.921658986175115	5	5.764976958525345	6	7.622119815668203	0.33	0.16097560975609757
26	41	0.036510339567426706	nan	177	151.17105263157896	2	3.039473684210526	5	5.671052631578948	6	7.706140350877193	0.344	0.1678048780487805
27	37	0.036510339567426706	nan	177	155.2325581395349	2	3.3209302325581396	5	5.906976744186046	6	8.595348837209302	0.312	0.14926829268292682
28	44	0.036510339567426706	nan	177	151.04926108374383	2	3.3201970443349755	5	5.768472906403941	6	8.16256157635468	0.314	0.15024390243902438
29	41	0.036510339567426706	nan	177	155.95774647887325	2	3.051643192488263	5	5.502347417840376	6	7.300469483568075	0.324	0.15609756097560976
30	38	0.036510339567426706	nan	411	162.8294930875576	2	3.1705069124423964	5	5.815668202764977	6	7.912442396313364	0.332	0.16
31	43	0.036510339567426706	nan	10	158.37962962962962	2	2.75	5	5.648148148148148	6	7.143518518518518	0.332	0.16195121951219513
32	56	0.036510339567426706	nan	10	162.99551569506727	2	3.103139013452915	5	5.780269058295964	6	7.816143497757848	0.336	0.16195121951219513
33	48	0.036510339567426706	nan	10	157.0281690140845	2	2.915492957746479	5	5.619718309859155	6	7.384976525821596	0.322	0.15609756097560976
34	36	0.036510339567426706	nan	10	155.40625	2	2.705357142857143	5	5.419642857142857	6	6.90625	0.318	0.1521951219512195
35	33	0.036510339567426706	nan	10	164.63247863247864	2	3.0042735042735043	5	5.55982905982906	6	7.388888888888889	0.32	0.1551219512195122
36	44	0.036510339567426706	nan	10	171.7111111111111	2	2.617777777777778	5	5.222222222222222	6	6.528888888888889	0.318	0.15414634146341463
37	33	0.036510339567426706	nan	10	172.82648401826484	2	2.8036529680365296	5	5.260273972602739	6	6.71689497716895	0.306	0.14926829268292682
38	35	0.036510339567426706	nan	10	172.6150442477876	2	2.7964601769911503	5	5.314159292035399	6	7.030973451327434	0.308	0.15024390243902438
39	38	0.036510339567426706	nan	10	177.27572016460906	2	2.7037037037037037	5	5.407407407407407	6	6.847736625514403	0.346	0.16585365853658537
40	36	0.036510339567426706	nan	10	188.21235521235522	2	2.7258687258687258	5	5.308880308880309	6	6.826254826254826	0.382	0.18634146341463415
41	32	0.036510339567426706	nan	10	186.58778625954199	2	2.6755725190839694	5	5.511450381679389	6	6.99236641221374	0.382	0.18634146341463415
42	54	0.036510339567426706	nan	10	191.0772357723577	2	2.686991869918699	5	5.402439024390244	6	6.67479674796748	0.374	0.18146341463414634
43	45	0.036510339567426706	nan	10	183.5609756097561	2	2.8739837398373984	5	5.382113821138211	6	7.060975609756097	0.356	0.17073170731707318
44	46	0.036510339567426706	nan	10	186.1851851851852	2	2.8641975308641974	5	5.333333333333333	6	6.950617283950617	0.342	0.1648780487804878
45	40	0.036510339567426706	nan	10	189.68312757201647	2	2.757201646090535	5	5.497942386831276	6	6.8559670781893	0.348	0.16878048780487806
46	52	0.036510339567426706	nan	10	185.5084745762712	2	2.9661016949152543	5	5.563559322033898	6	7.288135593220339	0.336	0.16195121951219513
47	53	0.036510339567426706	nan	10	198.2832618025751	2	2.6952789699570814	5	5.24892703862661	6	6.583690987124464	0.324	0.15707317073170732
48	51	0.036510339567426706	nan	10	180.2928870292887	2	3.1046025104602513	5	5.594142259414226	6	7.564853556485356	0.336	0.1629268292682927
49	47	0.036510339567426706	nan	10	167.6431718061674	2	2.7268722466960353	5	5.3392070484581495	6	6.762114537444934	0.324	0.15707317073170732
50	41	0.036510339567426706	nan	10	167.5	2	3.1041666666666665	5	5.591666666666667	6	7.5375	0.348	0.16878048780487806
