gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.04168218393343787	nan	7	6.218274111675127	4	2.4213197969543145	3	3.3299492385786804	5	4.096446700507614	0.216	0.10439024390243902
1	84	0.04168218393343787	nan	7	98.46783625730994	4	1.9649122807017543	3	3.280701754385965	5	3.526315789473684	0.164	0.08
2	91	0.03653335668360714	nan	146	110.86341463414634	2	2.15609756097561	6	3.6878048780487807	7	4.209756097560976	0.216	0.10146341463414635
3	98	0.03653335668360714	nan	146	123.08163265306122	2	2.229591836734694	6	4.061224489795919	7	4.678571428571429	0.238	0.11609756097560976
4	94	0.03653335668360714	nan	146	153.17127071823205	2	2.3259668508287294	6	4.314917127071824	7	5.1602209944751385	0.232	0.11317073170731708
5	88	0.03653335668360714	nan	112	147.71794871794873	2	2.3743589743589744	6	4.271794871794872	7	5.112820512820512	0.27	0.12975609756097561
6	83	0.03653335668360714	nan	112	157.59241706161137	2	2.734597156398104	6	4.687203791469194	7	6.0663507109004735	0.298	0.13853658536585367
7	69	0.03653335668360714	nan	112	149.36324786324786	2	2.893162393162393	6	4.931623931623932	7	6.52991452991453	0.346	0.16682926829268294
8	71	0.03599904618258498	nan	18	129.5782608695652	1	2.5521739130434784	6	4.834782608695652	5	5.8652173913043475	0.346	0.16878048780487806
9	59	0.03510987326791204	nan	581	140.4759825327511	1	2.9170305676855897	6	5.1965065502183405	5	6.890829694323144	0.346	0.16682926829268294
10	56	0.03412462355884417	nan	279	148.09349593495935	1	2.8577235772357725	6	5.191056910569106	5	6.666666666666667	0.362	0.1746341463414634
11	62	0.03412462355884417	nan	23	159.93589743589743	1	3.0	6	5.367521367521367	5	7.072649572649572	0.362	0.17170731707317075
12	51	0.03412462355884417	nan	279	153.73214285714286	1	3.40625	6	5.875	5	8.424107142857142	0.344	0.1629268292682927
13	43	0.03412462355884417	nan	132	165.3385214007782	1	2.6108949416342413	6	5.42023346303502	5	6.455252918287938	0.398	0.18634146341463415
14	58	0.03412462355884417	nan	132	167.12083333333334	1	3.0625	6	5.679166666666666	5	7.4	0.376	0.1795121951219512
15	49	0.03412462355884417	nan	132	150.95752895752895	1	3.158301158301158	6	5.698841698841699	5	7.617760617760617	0.394	0.19121951219512195
16	56	0.03412462355884417	nan	132	146.9727626459144	1	2.536964980544747	6	5.381322957198444	5	6.400778210116732	0.386	0.18439024390243902
17	49	0.03412462355884417	nan	132	144.67441860465115	1	3.0387596899224807	6	5.670542635658915	5	7.25968992248062	0.41	0.19317073170731708
18	56	0.03412462355884417	nan	132	131.8978102189781	1	3.0839416058394162	6	5.802919708029197	5	7.613138686131387	0.426	0.20097560975609757
19	47	0.03412462355884417	nan	132	134.47552447552448	1	2.902097902097902	6	5.940559440559441	5	7.426573426573427	0.456	0.21560975609756097
